ID;name;description;short_description;UGS;regular_price;weight;tax:product_cat;stock;tax_status 
507;Gobelets fleurs par 8;Huit gobelets à fleurs tropicales en carton, dessinés par My Little Day. Les gobelets à fleurs sont parfaits pour un anniversaire, le carnaval et une boum ! Ils iront également parfaitement pour un pique-nique, une pyjama party, un mariage, un baptême ou encore le réveillon de Noël. Chaque gobelet mesure 9 cm de haut et 8 cm de diamètre.;Huit gobelets à fleurs tropicales en carton, dessinés par My Little Day. Les gobelets à fleurs sont parfaits pour un anniversaire, le carnaval et une boum ! Ils iront également parfaitement pour un pique-nique, une pyjama party, un mariage, un baptême ou encore le réveillon de Noël. Chaque gobelet mesure 9 cm de haut et 8 cm de diamètre.;'01441;2.4498;0.06;Vaisselle de fête;16;taxable 
509;Gobelets losanges roses par 8;8 gobelets en carton à losanges roses, dessinés par My Little Day. Ces gobelets roses sont parfaits pour un anniversaire de princesse, de fée et dange ou encore pour décorer une Sweet Table ! Ils conviennent également pour un pique-nique, une pyjama party, un mariage, un baptême et le réveillon de Noël. Chaque gobelet mesure 9 cm de haut et 7 cm de diamètre. Fabriqués en France.;8 gobelets en carton à losanges roses, dessinés par My Little Day. Ces gobelets roses sont parfaits pour un anniversaire de princesse, de fée et dange ou encore pour décorer une Sweet Table ! Ils conviennent également pour un pique-nique, une pyjama party, un mariage, un baptême et le réveillon de Noël. Chaque gobelet mesure 9 cm de haut et 7 cm de diamètre. Fabriqués en France.;'00657;2.4498;0.06;Accessoires cuisine;81;taxable 
514;Gobelets triangles noirs par 8;8 gobelets en carton à noeuds noirs, dessinés par My Little Day. Les gobelets noirs sont parfaits pour un anniversaire dindien ou de cow-boy ou encore pour une fête dHalloween ! Ils conviendront également parfaitement pour un pique-nique, une pyjama party, un mariage et le réveillon de Noël. Chaque gobelet mesure 9 cm de haut et 8 cm de diamètre. Fabriqués en France.;8 gobelets en carton à noeuds noirs, dessinés par My Little Day. Les gobelets noirs sont parfaits pour un anniversaire dindien ou de cow-boy ou encore pour une fête dHalloween ! Ils conviendront également parfaitement pour un pique-nique, une pyjama party, un mariage et le réveillon de Noël. Chaque gobelet mesure 9 cm de haut et 8 cm de diamètre. Fabriqués en France.;'00658;2.4498;0.06;Vaisselle de fête;53;taxable 
515;Gobelets étoiles bleues par 8;;;'00651;2.4498;0.00;Vaisselle de fête;45;taxable 
544;Guirlande de lettres noires;Cette guirlande de lettres à composer est parfaite pour les anniversaires et fêtes en tous genres, mais aussi tout simplement pour décorer votre intérieur, bureau ou chambre d enfant. Les lettres sont réutilisables donc vous pouvez changer de message aussi souvent que vous voulez ! Contient : 138 lettres en carton, chiffres et symboles et clips en métal. Dimensions des lettres : environ 5 x 10 cm.;Cette guirlande de lettres à composer est parfaite pour les anniversaires et fêtes en tous genres, mais aussi tout simplement pour décorer votre intérieur, bureau ou chambre d enfant. Les lettres sont réutilisables donc vous pouvez changer de message aussi souvent que vous voulez ! Contient : 138 lettres en carton, chiffres et symboles et clips en métal. Dimensions des lettres : environ 5 x 10 cm.;'03057;7.2498;0.00;Guirlandes ;52;taxable 
554;Guirlande en papier rose fushia;;;'01732;8.4;0.00;Guirlandes ;90;taxable 
568;Tirelire Pingouin;Cette tirelire pingouin trouvera sa place dans toutes les chambres d enfant, et les petits y conserveront avec joie leur fortune ;Cette tirelire pingouin trouvera sa place dans toutes les chambres d enfant, et les petits y conserveront avec joie leur fortune ;'04468;2.4498;0.00;Vaisselle de fête;92;taxable 
569;Tirelire Pingouin;;;'04469;8.25;0.00;Déco;62;taxable 
570;Assiettes en carton Licorne par 8;8 assiettes licorne dessinées par My Little Day. Ces assiettes sont parfaites pour un anniversaire sur le thème de la Licorne ou des pays enchantés! Les couleurs des assiettes licorne sont également idéales pour une fête de princesse ou de fée dans un univers magique et féérique ! Ces assiettes égayeront aussi vos pique-niques, vos fêtes de famille ou baby showers! Diamètre : 23 cm.;8 assiettes licorne dessinées par My Little Day. Ces assiettes sont parfaites pour un anniversaire sur le thème de la Licorne ou des pays enchantés! Les couleurs des assiettes licorne sont également idéales pour une fête de princesse ou de fée dans un univers magique et féérique ! Ces assiettes égayeront aussi vos pique-niques, vos fêtes de famille ou baby showers! Diamètre : 23 cm.;'04470;2.4498;0.14;Vaisselle de fête;0;taxable 
575;Gobelets en carton Licorne;;;'04475;2.4498;0.00;Vaisselle de fête;27;taxable 
592;Néon Ananas PETIT;;;'04494;17.5002;0.00;Lampes & veilleuses;87;taxable 
593;Néon Small Flamingo;Un néon sur pied en forme de flamant rose, pour donner une touche "Las Vegas" à votre intérieur ! Mesure 25 cm de hanteur (également disponible en grand format de 45 cm) Fonctionne à piles (non fournies) ou avec un câble USB (fourni) Dimensions : 10 x 7.5 x 25 cm;Un néon sur pied en forme de flamant rose, pour donner une touche "Las Vegas" à votre intérieur ! Mesure 25 cm de hanteur (également disponible en grand format de 45 cm) Fonctionne à piles (non fournies) ou avec un câble USB (fourni) Dimensions : 10 x 7.5 x 25 cm;'04495;17.5002;0.40;Lampes & veilleuses;48;taxable 
594;Néon Rainbow PETIT;Un néon sur pied en forme darc-en-ciel pour donner une touche "Las Vegas" à votre intérieur ! Fonctionne à piles (non fournies) ou avec un câble USB (fourni) Dimensions : 10 x 7.5 x 19 cm;Un néon sur pied en forme darc-en-ciel pour donner une touche "Las Vegas" à votre intérieur ! Fonctionne à piles (non fournies) ou avec un câble USB (fourni) Dimensions : 10 x 7.5 x 19 cm;'04497;17.5002;0.40;Lampes & veilleuses;91;taxable 
595;Néon Flamingo GRAND;Un néon sur pied en forme de flamant rose, pour donner une touche tropicale à votre intérieur ! Mesure 45 cm de hanteur (également disponible en petit format de 25 cm) Dimensions : L 19 cm x H 45 cm - Base : Ø 8 cm - Câble : L 200 cm Poids : 1.5 kg Variateur sur la base - Câble à brancher sur secteur - Adaptateur inclus- Tube néon inclus (irremplaçable);Un néon sur pied en forme de flamant rose, pour donner une touche tropicale à votre intérieur ! Mesure 45 cm de hanteur (également disponible en petit format de 25 cm) Dimensions : L 19 cm x H 45 cm - Base : Ø 8 cm - Câble : L 200 cm Poids : 1.5 kg Variateur sur la base - Câble à brancher sur secteur - Adaptateur inclus- Tube néon inclus (irremplaçable);'04499;34.9998;0.00;Lampes & veilleuses;94;taxable 
596;Néon Cactus GRAND;Un néon sur pied en forme de cactus, pour donner une touche exotique à votre intérieur ! Mesure 45 cm de hanteur (également disponible en petit format de 25 cm) Dimensions : L 19 cm x H 45 cm - Base : Ø 8 cm - Câble : L 200 cm Poids : 1.5 kg Variateur sur la base - Câble à brancher sur secteur - Adaptateur inclus- Tube néon inclus (irremplaçable);Un néon sur pied en forme de cactus, pour donner une touche exotique à votre intérieur ! Mesure 45 cm de hanteur (également disponible en petit format de 25 cm) Dimensions : L 19 cm x H 45 cm - Base : Ø 8 cm - Câble : L 200 cm Poids : 1.5 kg Variateur sur la base - Câble à brancher sur secteur - Adaptateur inclus- Tube néon inclus (irremplaçable);'04500;34.9998;0.00;Lampes & veilleuses;79;taxable 
597;Néon Cactus PETIT;Un néon sur pied en forme de cactus, pour donner une touche exotique à votre intérieur ! Mesure 25 cm de hauteur (également disponible en grand format de 45 cm) Fonctionne à piles (non fournies) ou avec un câble USB (fourni) Dimensions : 10 x 7.5 x 26 cm;Un néon sur pied en forme de cactus, pour donner une touche exotique à votre intérieur ! Mesure 25 cm de hauteur (également disponible en grand format de 45 cm) Fonctionne à piles (non fournies) ou avec un câble USB (fourni) Dimensions : 10 x 7.5 x 26 cm;'04501;17.5002;0.40;Lampes & veilleuses;36;taxable 
611;Jeu 7 familles;<p>Découvrez ces 7 familles du siècle dernier... <br>Des personnages rigolos pour un grand classique à découvrir sans attendre ! <br>Pour petits et grands. <br>Dimensions de la boite : 10 x 8 x 2 cm</p>;<p>Découvrez ces 7 familles du siècle dernier... <br>Des personnages rigolos pour un grand classique à découvrir sans attendre ! <br>Pour petits et grands. <br>Dimensions de la boite : 10 x 8 x 2 cm</p>;'04516;3.75;0.00;Jeux;93;taxable 
624;Illusions d'optique;;;'00754;3.75;0.00;Jeux;18;taxable 
632;Jeux de ficelle;<p>Une jolie boite contenant 18 jeux de ficelle de notre enfance, du plus facile au plus difficile ! <br>Faites un noeud à la ficelle fournie et... C'est parti ! <br>Dimensions de la boîte : 10 x 8 x 2 cm. <br>Contient 18 fiches explicatives et 1 ficelle.</p>;<p>Une jolie boite contenant 18 jeux de ficelle de notre enfance, du plus facile au plus difficile ! <br>Faites un noeud à la ficelle fournie et... C'est parti ! <br>Dimensions de la boîte : 10 x 8 x 2 cm. <br>Contient 18 fiches explicatives et 1 ficelle.</p>;'00308;3.75;0.00;Jeux;39;taxable 
670;Lettres Noires pour lightbox;<p>Pack de 85 lettres et symboles, à utiliser avec les lightboxes A5 et A4 (vendues séparément). <br>Dimensions : 6,5 x 4,5 cm par lettre.</p>;<p>Pack de 85 lettres et symboles, à utiliser avec les lightboxes A5 et A4 (vendues séparément). <br>Dimensions : 6,5 x 4,5 cm par lettre.</p>;'03613;6;0.00;Lightbox;57;taxable 
681;Lightbox A4 blanche;;;'04040;22.5;0.00;Lightbox;40;taxable 
683;Lightbox A4 rose pâle;;;'03523;22.5;0.00;Lightbox;29;taxable 
684;Lightbox A4 vert mint;;;'03524;22.5;0.00;Lightbox;26;taxable 
685;Lightbox A5;;;'02845;13.2498;0.00;Lightbox;2;taxable 
688;Lignes de la main;;;'02793;3.75;0.00;Jeux;65;taxable 
761;Matryochka crèche;<p>De jolies poupées russes représentant une crèche de Noël et illustrées par la dessinatrice suédoise Ingela P. Arrhenius, qui seront adorables sur une étagère dans un salon ou une chambre d enfant. <br>Elles s'emboitent les unes dans les autres comme les vraies matryoshka ! <br>Dimensions : de 2 cm à 11 cm de la plus petite à la plus grande. <br>En plastique moulé.</p>;<p>De jolies poupées russes représentant une crèche de Noël et illustrées par la dessinatrice suédoise Ingela P. Arrhenius, qui seront adorables sur une étagère dans un salon ou une chambre d enfant. <br>Elles s'emboitent les unes dans les autres comme les vraies matryoshka ! <br>Dimensions : de 2 cm à 11 cm de la plus petite à la plus grande. <br>En plastique moulé.</p>;'01704;13.2498;0.00;Déco Noel;66;taxable 
762;Matryochka tableau noir;De jolies poupées russes "tableau noir"à décorer avec des craies,qui seront adorables sur une étagère dans un salon ou une chambre d enfant. Elles s emboitent les unes dans les autres comme les vraies matryoshka ! Dimensions : de 2 cm à 11 cm de la plus petite à la plus grande. En plastique moulé. Craies fournies.;De jolies poupées russes "tableau noir"à décorer avec des craies,qui seront adorables sur une étagère dans un salon ou une chambre d enfant. Elles s emboitent les unes dans les autres comme les vraies matryoshka ! Dimensions : de 2 cm à 11 cm de la plus petite à la plus grande. En plastique moulé. Craies fournies.;'02487;10.0002;0.00;Loisirs créatifs;57;taxable 
763;Matryochkas blanches à colorier;;;'02359;10.0002;0.00;Loisirs créatifs;21;taxable 
765;Memory retro;;;'01706;7.2498;0.00;Jeux;28;taxable 
766;Memory visages;;;'01436;7.2498;0.00;Jeux;14;taxable 
767;Miniatures Etoiles jaune;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;'03608;4.0002;0.00;Petits cadeaux;99;taxable 
768;Miniatures Etoiles rose;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;'03604;4.0002;0.00;Petits cadeaux;13;taxable 
770;Miniatures Ice cream;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;'03603;4.0002;0.00;Petits cadeaux;78;taxable 
772;Miniatures Poires;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;'03605;4.0002;0.00;Petits cadeaux;4;taxable 
774;Miniatures rainbow soleil lune;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;<p>Ne sont-elles pas adorables ? <br>Ces miniatures seront parfaites sur une étagère de chambre d enfant, ou comme mini cadeau ! <br>Dimensions : entre 3 et 5 cm. <br>Décoratif (ne s'allument pas).</p>;'03714;4.0002;0.00;Petits cadeaux;54;taxable 
805;Mix and match;;;'02488;8.25;0.00;Jeux;73;taxable 
864;Nouvelles illusions d'optiques;<p>Avec ces 50 nouvelles illusions, découvrez des images toujours aussi inscroyables ! <br>Dimensions de la boîte : 10 x 8 x 2 cm.</p>;<p>Avec ces 50 nouvelles illusions, découvrez des images toujours aussi inscroyables ! <br>Dimensions de la boîte : 10 x 8 x 2 cm.</p>;'00558;3.75;0.00;Jeux;20;taxable 
1127;Doudou Panda;;;'04629;13.5;0.00;Doudous;89;taxable 
1128;Doudou Ananas à lunettes;;;'04630;13.5;0.00;Doudous;60;taxable 
1131;Doudou mini Fraise;;;'04633;8.5002;0.00;Doudous;10;taxable 
1134;Doudou Ours beige à moustache;;;'04636;13.5;0.00;Doudous;98;taxable 
1135;Doudou Dino rose;;;'04637;13.5;0.00;Doudous;14;taxable 
1150;Sac à dos enfants icecream rose;<p>Parfait pour l'école ou pour partir en ballade, un sac-à-dos pour enfant "ice cream" super pratique avec sa grande poche. <br>Dimensions : 32.5 x 25.5 x 14.5 cm. <br>Lavable à la main.</p>;<p>Parfait pour l'école ou pour partir en ballade, un sac-à-dos pour enfant "ice cream" super pratique avec sa grande poche. <br>Dimensions : 32.5 x 25.5 x 14.5 cm. <br>Lavable à la main.</p>;'03064;9.4998;0.00;Accessoires Enfants;98;taxable 
1182;Semainier Graphic;<p>L'indispensable bloc pour bien organiser ses semaines.<br> Au bureau ou à la maison, une semaine par page, on y note tous les moments importants pour ne rien oublier.5 <br>2 pages à détacher.</p>;<p>L'indispensable bloc pour bien organiser ses semaines.<br> Au bureau ou à la maison, une semaine par page, on y note tous les moments importants pour ne rien oublier.5 <br>2 pages à détacher.</p>;'04586;6.2502;0.00;Blocs note;60;taxable 
1183;Semainier coloring;<p>L'indispensable bloc pour bien organiser ses semaines.<br> Au bureau ou à la maison, une semaine par page, on y note tous les moments importants pour ne rien oublier.5 <br>2 pages à détacher.</p>;<p>L'indispensable bloc pour bien organiser ses semaines.<br> Au bureau ou à la maison, une semaine par page, on y note tous les moments importants pour ne rien oublier.5 <br>2 pages à détacher.</p>;'03507;6.2502;0.00;Blocs note;19;taxable 
